Event,Fighter,Opponent,Opening_odds,Close_odds1,Close_odds2,Movement
UFC Fight Night 68: Henderson vs. Boetsch Jun 6th 2015,Ricardo Abreu,Jake Collier,-210,-200,-175,+3.6%▲
UFC: The Ultimate Fighter Brazil 3 Finale May 31st 2014,Ricardo Abreu,Wagner Silva,-350,-330,-320,+1.7%▲
UFC on ESPN+ 21: Zabit vs. Kattar Nov 9th 2019,Klidson Abreu,Shamil Gamzatov,+190,+109,+125,-34.9%▼
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Klidson Abreu,Sam Alvey,-150,-175,-165,-5.4%▼
UFC on ESPN 9: Woodley vs. Burns May 30th 2020,Klidson Abreu,Jamahal Hill,+135,+110,+135,-4.4%▼
UFC on ESPN+ 3: Blachowicz vs. Santos Feb 23rd 2019,Klidson Farias de Abreu,Magomed Ankalaev,+175,+175,+185,+1.8%▲
UFC 128: Shogun vs. Jones Mar 19th 2011,Ricardo Almeida,Mike Pyle,-195,-150,-150,+9.2%▲
UFC 124: St-Pierre vs. Koscheck II Dec 11th 2010,Ricardo Almeida,T.J. Grant,-175,-150,-150,+5.7%▲
UFC 117: Silva vs. Sonnen Aug 7th 2010,Ricardo Almeida,Matt Hughes,+155,-193,-193,-68%▼
UFC 111: St-Pierre vs. Hardy Mar 27th 2010,Ricardo Almeida,Matt Brown,-140,-185,-185,-11.3%▼
UFC 101: Declaration Aug 8th 2009,Ricardo Almeida,Kendall Grove,-185,-150,-150,+7.6%▲
UFC Fight Night 18: Condit vs Kampmann Apr 1st 2009,Ricardo Almeida,Matt Horwich,-300,-330,-330,-2.3%▼
UFC 86: Jackson vs Griffin Jul 5th 2008,Ricardo Almeida,Patrick Cote,+125,-118,-118,-21.8%▼
UFC 81: Breaking Point Feb 2nd 2008,Ricardo Almeida,Rob Yundt,,,,
UFC Fight Pass Invitational 3 Dec 15th 2022,Ricardo Evangelista,Dan Manasoiu,+275,+375,+425,+25%▲
UFC on FX 4: Guida vs. Maynard Jun 22nd 2012,Ricardo Funch,Dan Miller,+325,+300,+375,+3%▲
UFC 142: Aldo vs. Mendes Jan 14th 2012,Ricardo Funch,Mike Pyle,+320,+455,+455,+24.3%▲
UFC 115: Liddell vs. Franklin Jun 12th 2010,Ricardo Funch,Claude Patrick,+250,+215,+215,-11.1%▼
UFC 107: Penn vs Sanchez Dec 12th 2009,Ricardo Funch,Johny Hendricks,+320,+350,+350,+6.7%▲
UFC on ESPN+ 33: Smith vs. Rakic Aug 29th 2020,Ricardo Lamas,Bill Algeo,-265,-303,-250,-0.9%▼
UFC 238: Cejudo vs. Moraes Jun 8th 2019,Ricardo Lamas,Calvin Kattar,+125,+137,+155,+8.9%▲
UFC Fight Night 140: Magny vs. Ponzinibbio Nov 17th 2018,Ricardo Lamas,Darren Elkins,-195,-185,-175,+3.1%▲
UFC 225: Whittaker vs. Romero 2 Jun 9th 2018,Ricardo Lamas,Mirsad Bektic,+135,+205,+205,+23%▲
UFC on FOX 26: Lawler vs. Dos Anjos Dec 16th 2017,Ricardo Lamas,Josh Emmett,-210,-290,-270,-8.8%▼
UFC 214: Cormier vs. Jones 2 Jul 29th 2017,Ricardo Lamas,Jason Knight,-110,-110,-105,+0.9%▲
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Ricardo Lamas,Charles Oliveira,-125,-116,-110,+4.5%▲
UFC 199: Rockhold vs. Bisping II Jun 4th 2016,Ricardo Lamas,Max Holloway,+180,+220,+230,+13.8%▲
UFC Fight Night 78: Magny vs. Gastelum Nov 21st 2015,Ricardo Lamas,Diego Sanchez,-600,-450,-440,+4.7%▲
UFC Fight Night 63: Mendes vs. Lamas Apr 4th 2015,Ricardo Lamas,Chad Mendes,+280,+365,+375,+19.1%▲
UFC 180: Werdum vs. Hunt Nov 15th 2014,Ricardo Lamas,Dennis Bermudez,+145,+150,+155,+3.2%▲
UFC Fight Night 44: Swanson vs. Stephens Jun 28th 2014,Ricardo Lamas,Hacran Dias,-215,-280,-270,-7.4%▼
UFC 169: Barao vs. Faber Feb 1st 2014,Ricardo Lamas,Jose Aldo,+400,+550,+600,+25.9%▲
UFC on FOX 6: Johnson vs. Dodson Jan 26th 2013,Ricardo Lamas,Erik Koch,+120,+200,+205,+27.4%▲
UFC on FX 4: Guida vs. Maynard Jun 22nd 2012,Ricardo Lamas,Hatsu Hioki,+180,+155,+155,-9.8%▼
UFC On FOX 1: Velasquez vs. Dos Santos Nov 12th 2011,Ricardo Lamas,Cub Swanson,-145,-175,-175,-7.5%▼
UFC On Versus 4 Jun 26th 2011,Ricardo Lamas,Matt Grice,-165,-165,-165,0%
UFC Fight Night 221 Mar 11th 2023,Ricardo Ramos,Austin Lingo,-260,-355,-355,-8%▼
UFC Fight Night: Gane vs. Tuivasa Sep 3rd 2022,Ricardo Ramos,Danny Henry,-450,-450,-450,
UFC Fight Night: Kattar vs. Emmett Jun 18th 2022,Ricardo Ramos,Danny Chavez,-310,-335,-295,-1.2%▼
UFC 267: Brachowicz vs. Teixeira Oct 30th 2021,Ricardo Ramos,Zubaira Tukhugov,-110,+130,+145,+20.1%▲
UFC Fight Night 188: Font vs. Garbrandt May 22nd 2021,Ricardo Ramos,Bill Algeo,+100,+100,+125,+5.2%▲
UFC on ESPN 13: Kattar vs. Ige Jul 15th 2020,Ricardo Ramos,Lerone Murphy,-140,-185,-175,-10%▼
UFC on ESPN+ 22: Blachowicz vs. Jacare Nov 16th 2019,Ricardo Ramos,Eduardo Garagorri,-215,-430,-357,-17%▼
UFC on ESPN 3: Ngannou vs. Dos Santos Jun 29th 2019,Ricardo Ramos,Journey Newson,-305,-410,-333,-4.8%▼
UFC on ESPN+ 2: Assuncao vs. Moraes 2 Feb 2nd 2019,Ricardo Ramos,Said Nurmagomedov,+145,-170,-152,-52.2%▼
UFC 227: Dillashaw vs. Garbrandt 2 Aug 4th 2018,Ricardo Ramos,Kyung Ho Kang,-245,-300,-275,-4.5%▼
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Ricardo Ramos,Aiemann Zahabi,-130,-190,-187,-15.7%▼
UFC 135: Jones vs. Rampage Sep 24th 2011,Ricardo Romero,James Te Huna,-105,+142,+142,+19.3%▲
UFC 126: Silva vs. Belfort Feb 5th 2011,Ricardo Romero,Kyle Kingsbury,+115,-135,-135,-23.5%▼
UFC 116: Lesnar vs. Carwin Jul 3rd 2010,Ricardo Romero,Seth Petruzelli,-145,-170,-170,-6.4%▼
Road to UFC 4 Jun 10th 2022,John Adajar,Han Seul Kim,-120,+275,+450,+58.3%▲
UFC on FOX 8: Johnson vs. Moraga Jul 27th 2013,John Albert,Yaotzin Meza,-175,-225,-220,-8.5%▼
UFC on FOX 5: Henderson vs. Diaz Dec 8th 2012,John Albert,Scott Jorgensen,+180,+240,+245,+18.4%▲
UFC: The Ultimate Fighter 15 Finale Jun 1st 2012,John Albert,Erik Perez,-230,-210,-185,+4.7%▲
UFC on FUEL TV 1: Ellenberger vs. Sanchez Feb 15th 2012,John Albert,Ivan Menjivar,+200,+220,+220,+6.3%▲
UFC: The Ultimate Fighter 14 Finale Dec 3rd 2011,John Albert,Dustin Pague,+225,+205,+205,-6.6%▼
UFC 148: Silva vs. Sonnen 2 Jul 7th 2012,John Alessio,Shane Roller,+150,+140,+140,-4.2%▼
UFC 145: Jones vs. Evans Apr 21st 2012,John Alessio,Mark Bocek,+155,+260,+260,+29.2%▲
UFC 268: Usman vs. Covington 2 Nov 6th 2021,John Allan,Dustin Jacoby,+210,+290,+310,+22.5%▲
UFC on ESPN 19: Hermansson vs. Vettori Dec 5th 2020,John Allan,Roman Dolidze,+170,+160,+170,-1.9%▼
UFC on ESPN+ 13: De Randamie vs. Ladd Jul 13th 2019,John Allan,Mike Rodriguez,+265,+340,+350,+18.3%▲
UFC Vegas 57 Oct 1st 2022,John Castaneda,Daniel Santos,-150,-195,-180,-9%▼
UFC Fight Night 202 Feb 5th 2022,John Castaneda,Miles Johns,+190,+145,+200,-13.7%▼
UFC Fight Night 185: Blaydes vs. Lewis Feb 20th 2021,John Castaneda,Eddie Wineland,+130,-135,-120,-28.2%▼
UFC on ESPN 14: Whittaker vs. Till Jul 25th 2020,John Castaneda,Nathaniel Wood,+255,+340,+350,+20.2%▲
UFC on FX 8: Belfort vs. Rockhold May 18th 2013,John Cholish,Gleison Tibau,+180,+210,+235,+13.3%▲
UFC on FOX 3: Diaz vs. Miller May 5th 2012,John Cholish,Danny Castillo,+110,-150,-150,-26%▼
UFC 140: Jones vs. Machida Dec 10th 2011,John Cholish,Mitch Clarke,-280,-345,-345,-5.2%▼
UFC: The Ultimate Fighter 16 Finale Dec 15th 2012,John Cofer,Mike Rio,+140,-110,-110,-25.7%▼
UFC: The Ultimate Fighter 15 Finale Jun 1st 2012,John Cofer,Justin Lawrence,+250,+290,+315,+13.2%▲
UFC: The Ultimate Fighter 15 Episode 7 Apr 20th 2012,John Cofer,Vinc Pichel,+130,+135,+135,+2.1%▲
UFC 252: Miocic vs. Cormier 3 Aug 15th 2020,John Dodson,Merab Dvalishvili,+145,+225,+240,+26.4%▲
UFC on ESPN+ 25: Anderson vs. Blachowicz 2 Feb 15th 2020,John Dodson,Nathaniel Wood,+140,+125,+140,-3.4%▼
UFC on ESPN+ 3: Blachowicz vs. Santos Feb 23rd 2019,John Dodson,Petr Yan,+175,+220,+250,+17.2%▲
UFC 228: Woodley vs. Till Sep 8th 2018,John Dodson,Jimmie Rivera,+155,+128,+130,-11.4%▼
UFC 222: Cyborg vs. Kunitskaya Mar 3rd 2018,John Dodson,Pedro Munhoz,-180,-163,-160,+3.8%▲
UFC Fight Night 120: Poirier vs. Pettis Nov 11th 2017,John Dodson,Marlon Moraes,-120,-125,-124,-1.9%▼
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,John Dodson,Eddie Wineland,-280,-450,-400,-9.9%▼
UFC Fight Night 96: Lineker vs. Dodson Oct 1st 2016,John Dodson,John Lineker,-125,-128,-125,-0.7%▼
UFC on FOX 19: Evans vs. Teixeira Apr 16th 2016,John Dodson,Manny Gamburyan,-505,-500,-450,+1%▲
UFC 191: Johnson vs. Dodson II Sep 5th 2015,John Dodson,Demetrious Johnson,+310,+430,+430,+22.6%▲
UFC 187: Johnson vs. Cormier May 23rd 2015,John Dodson,Zach Makovsky,-400,-800,-700,-10.3%▼
UFC Fight Night 42: Henderson vs. Khabilov Jun 7th 2014,John Dodson,John Moraga,-315,-570,-570,-12.1%▼
UFC 166: Velasquez vs. Dos Santos III Oct 19th 2013,John Dodson,Darrell Montague,-280,-425,-400,-9.3%▼
UFC on FOX 6: Johnson vs. Dodson Jan 26th 2013,John Dodson,Demetrious Johnson,+170,+200,+205,+10.9%▲
UFC on FX 5: Browne vs. Bigfoot Oct 5th 2012,John Dodson,Jussier da Silva,-230,-270,-255,-4%▼
UFC on FOX 3: Diaz vs. Miller May 5th 2012,John Dodson,Tim Elliott,-425,-510,-500,-3.1%▼
UFC: The Ultimate Fighter 14 Finale Dec 3rd 2011,John Dodson,T.J. Dillashaw,+180,+195,+195,+5.1%▲
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Juan Adams,Greg Hardy,-155,-115,-106,+13.5%▲
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Juan Adams,Arjan Bhullar,-130,-146,-135,-3.2%▼
UFC on FOX 31: Lee vs. Iaquinta 2 Dec 15th 2018,Juan Adams,Chris de La Rocha,-265,-500,-470,-14.1%▼
UFC 247: Jones vs. Reyes Feb 8th 2020,Juan Adams,Justin Tafa,-185,-260,-250,-10.7%▼
UFC 253: Adesanya vs. Costa Sep 26th 2020,Juan Espino,Jeff Hughes,-220,-345,-333,-12.2%▼
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman Nov 30th 2018,Juan Espino,Justin Frazier,+130,-180,-175,-47%▼
UFC on ESPN 22: Whittaker vs. Gastelum Apr 17th 2021,Juan Espino,Alexander Romanov,-115,+110,+154,+20.8%▲
UFC Fight Night 130: Thompson vs. Till May 27th 2018,Brad Scott,Carlo Pedersoli Jr.,+160,+120,+124,-17.1%▼
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Brad Scott,Jack Hermansson,+165,+240,+240,+22.1%▲
UFC Fight Night 107: Manuwa vs. Anderson Mar 18th 2017,Brad Scott,Scott Askham,+125,+135,+142,+5.9%▲
UFC Fight Night 84: Silva vs. Bisping Feb 27th 2016,Brad Scott,Krzysztof Jotko,-105,+135,+135,+16.9%▲
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Brad Scott,Dylan Andrews,-110,+100,+110,+6.9%▲
UFC Fight Night 37: Gustafsson vs. Manuwa Mar 8th 2014,Brad Scott,Claudio Henrique da Silva,-190,-237,-225,-6.5%▼
UFC Fight Night 30: Machida vs. Munoz Oct 26th 2013,Brad Scott,Michael Kuiper,+220,+280,+295,+17.5%▲
UFC on FX 6: Sotiropoulos vs. Pearson Dec 14th 2012,Brad Scott,Robert Whittaker,+120,+200,+215,+28.6%▲
UFC Fight Night 107: Manuwa vs. Anderson Mar 18th 2017,Scott Askham,Brad Scott,-165,-162,-155,+1.4%▲
UFC Fight Night 93: Arlovski vs. Barnett Sep 3rd 2016,Scott Askham,Jack Hermansson,-140,-107,-105,+11.8%▲
UFC Fight Night 84: Silva vs. Bisping Feb 27th 2016,Scott Askham,Chris Dempsey,-300,-360,-335,-3.6%▼
UFC Fight Night 76: Holohan vs. Smolka Oct 24th 2015,Scott Askham,Krzysztof Jotko,-130,-149,-145,-5.3%▼
UFC Fight Night 69: Jedrzejczyk vs. Penne Jun 20th 2015,Scott Askham,Antonio Dos Santos Jr.,-245,-235,-220,+2.1%▲
UFC Fight Night 53: Nelson vs. Story Oct 4th 2014,Scott Askham,Magnus Cedenblad,+100,+110,+115,+6.1%▲
UFC on ESPN+ 35: Waterson vs. Hill Sep 12th 2020,Anthony Ivy,Bryan Barberena,+190,+185,+200,+0.3%▲
UFC on ESPN 10: Eye vs. Calvillo Jun 13th 2020,Anthony Ivy,Christian Aguilera,-230,-227,-170,+5.7%▲
UFC on ESPN+ 40: Santos vs. Teixeira Nov 7th 2020,Anthony Birchak,Gustavo Lopez,-155,+110,+125,+23.8%▲
UFC Fight Night 90: Dos Anjos vs. Alvarez Jul 7th 2016,Anthony Birchak,Dileno Lopes,-210,-250,-230,-4.2%▼
UFC Fight Night 77: Belfort vs. Henderson 3 Nov 7th 2015,Anthony Birchak,Thomas Almeida,+325,+415,+420,+18%▲
UFC Fight Night 68: Henderson vs. Boetsch Jun 6th 2015,Anthony Birchak,Joe Soto,+170,+170,+175,+1.1%▲
UFC on FOX 13: Dos Santos vs. Miocic Dec 13th 2014,Anthony Birchak,Ian Entwistle,-315,-275,-270,+3.6%▲
UFC on ESPN 22: Whittaker vs. Gastelum Apr 17th 2021,Anthony Birchak,Tony Gravely,+175,+255,+325,+29.8%▲
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Anthony Christodoulou,Scott Holtzman,+365,+775,+775,+46.9%▲
UFC on FOX 14: Gustafsson vs. Johnson Jan 24th 2015,Anthony Christodoulou,Mairbek Taisumov,+335,+725,+850,+51%▲
UFC 281 Nov 12th 2022,Israel Adesanya,Alex Pereira,-200,-715,-210,-10.3%▼
UFC 276: Adesanya vs. Cannonier Jul 2nd 2022,Israel Adesanya,Jared Cannonier,-300,-700,-500,-12.9%▼
UFC 271 Feb 12th 2022,Israel Adesanya,Robert Whittaker,-260,-333,-275,-4.2%▼
UFC Dec 31st 2021,Israel Adesanya,Robert Whittaker,-275,-260,-215,+4.8%▲
UFC 263: Adesanya vs. Vettori 2 Jun 12th 2021,Israel Adesanya,Marvin Vettori,-235,-278,-220,-1.5%▼
UFC 259: Blachowicz vs. Adesanya Mar 6th 2021,Israel Adesanya,Jan Blachowicz,-250,-286,-225,-0.1%▼
UFC 253: Adesanya vs. Costa Sep 26th 2020,Israel Adesanya,Paulo Costa,-140,-193,-189,-12.5%▼
UFC 243: Whittaker vs. Adesanya Oct 5th 2019,Israel Adesanya,Robert Whittaker,+160,-130,-111,-42.9%▼
UFC 236: Holloway vs. Poirier 2 Apr 13th 2019,Israel Adesanya,Kelvin Gastelum,-220,-178,-170,+7.6%▲
UFC 234: Adesanya vs. Silva Feb 9th 2019,Israel Adesanya,Anderson Silva,-400,-556,-515,-5.3%▼
UFC 230: Cormier vs. Lewis Nov 3rd 2018,Israel Adesanya,Derek Brunson,-260,-290,-275,-2.1%▼
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya Jul 6th 2018,Israel Adesanya,Brad Tavares,-120,-115,-111,+2.7%▲
UFC on FOX 29: Poirier vs. Gaethje Apr 14th 2018,Israel Adesanya,Marvin Vettori,-260,-245,-237,+2.1%▲
UFC 248: Adesanya vs. Romero Mar 7th 2020,Israel Adesanya,Yoel Romero,-185,-303,-265,-14.1%▼
UFC 221: Romero vs. Rockhold Feb 10th 2018,Israel Adesanya,Rob Wilkinson,-325,-365,-350,-2.2%▼
UFC Fight Night 218 Jan 14th 2023,Nick Aguirre,Dan Arguetta,+285,+400,+410,+23.3%▲
UFC 169: Barao vs. Faber Feb 1st 2014,Nick Catone,Tom Watson,+130,+100,+115,-10.6%▼
UFC: The Ultimate Fighter 16 Finale Dec 15th 2012,Nick Catone,T.J. Waldburger,+105,-110,-105,-6.4%▼
UFC on FX 4: Guida vs. Maynard Jun 22nd 2012,Nick Catone,Chris Camozzi,-245,-210,-210,+4.6%▲
UFC 128: Shogun vs. Jones Mar 19th 2011,Nick Catone,Constantinos Philippou,-260,-210,-210,+6.2%▲
UFC Fight Night 20: Maynard vs Diaz Jan 11th 2010,Nick Catone,Jesse Forbes,-205,-225,-225,-3%▼
UFC 102: Couture vs Nogueira Aug 29th 2009,Nick Catone,Mark Munoz,+150,+205,+205,+18%▲
UFC Fight Night 18: Condit vs Kampmann Apr 1st 2009,Nick Catone,Tim Credeur,+100,-115,-115,-7%▼
UFC Fight Night 17: Lauzon vs Stephens Feb 7th 2009,Nick Catone,Derek Downey,-240,-240,-240,
UFC on FOX 3: Diaz vs. Miller May 5th 2012,Nick Denis,Roland Delorme,-240,-290,-280,-4.9%▼
UFC on FX 1: Guillard vs. Miller Jan 20th 2012,Nick Denis,Joseph Sandoval,-250,-275,-275,-2.7%▼
UFC 266: Volkanovski vs. Ortega Sep 25th 2021,Nick Diaz,Robbie Lawler,+210,+120,+150,-30.8%▼
UFC 183: Silva vs. Diaz Jan 31st 2015,Nick Diaz,Anderson Silva,+285,+305,+320,+6.8%▲
UFC 158: St-Pierre vs. Diaz Mar 16th 2013,Nick Diaz,Georges St-Pierre,+310,+400,+465,+23.1%▲
UFC 143: Condit vs. Diaz Feb 4th 2012,Nick Diaz,Carlos Condit,+105,-190,-190,-34.3%▼
UFC 137: Penn vs. Diaz Oct 29th 2011,Nick Diaz,B.J. Penn,-105,-115,-115,-4.4%▼
UFC 271 Feb 12th 2022,Fabio Cherant,Carlos Ulberg,+125,+165,+240,+27.9%▲
UFC on ESPN: Cannonier vs. Gastelum Aug 21st 2021,Fabio Cherant,William Knight,+275,+141,+170,-49.4%▼
UFC 260: Miocic vs. Ngannou 2 Mar 27th 2021,Fabio Cherant,Alonzo Menifield,+210,+210,+240,+5.5%▲
UFC Fight Night 77: Belfort vs. Henderson 3 Nov 7th 2015,Fabio Maldonado,Corey Anderson,+265,+385,+500,+32.8%▲
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Fabio Maldonado,Quinton Jackson,+235,+145,+150,-35.1%▼
UFC 179: Aldo vs. Mendes II Oct 25th 2014,Fabio Maldonado,Hans Stringer,-130,-130,-130,0%
UFC: The Ultimate Fighter Brazil 3 Finale May 31st 2014,Fabio Maldonado,Stipe Miocic,+335,+500,+535,+29.6%▲
UFC Fight Night 38: Shogun vs. Henderson Mar 23rd 2014,Fabio Maldonado,Gian Villante,+115,+250,+260,+39.4%▲
UFC Fight Night 29: Maia vs. Shields Oct 9th 2013,Fabio Maldonado,Joey Beltran,-190,-165,-155,+6.1%▲
UFC on FX 8: Belfort vs. Rockhold May 18th 2013,Fabio Maldonado,Roger Hollett,-245,-265,-265,-2.2%▼
UFC 153: Silva vs. Bonnar Oct 13th 2012,Fabio Maldonado,Glover Teixeira,+370,+400,+420,+7.8%▲
UFC on FUEL TV 3: Korean Zombie vs. Poirier May 15th 2012,Fabio Maldonado,Igor Pokrajac,-170,-140,-140,+7.4%▲
UFC: The Ultimate Fighter 13 Finale Jun 4th 2011,Fabio Maldonado,Kyle Kingsbury,+160,+165,+165,+1.9%▲
UFC 120: Bisping vs. Akiyama Oct 16th 2010,Fabio Maldonado,James McSweeney,-240,-240,-240,0%
UFC Fight Night 36: Machida vs. Mousasi Feb 15th 2014,Cristiano Marcello,Joe Proctor,+140,+200,+230,+23.8%▲
UFC on Fuel TV 8: Silva vs. Stann Mar 2nd 2013,Cristiano Marcello,Kazuki Tokudome,+105,+100,+105,-1%▼
UFC 153: Silva vs. Bonnar Oct 13th 2012,Cristiano Marcello,Reza Madadi,+170,+135,+135,-14.9%▼
UFC: The Ultimate Fighter 15 Finale Jun 1st 2012,Cristiano Marcello,Sam Sicilia,+160,+177,+180,+6.8%▲
UFC: The Ultimate Fighter 15 Episode 3 Mar 23rd 2012,Cristiano Marcello,Justin Lawrence,+170,+205,+205,+11.5%▲
UFC 262: Oliveira vs. Chandler May 15th 2021,Kevin Aguilar,Tucker Lutz,-110,+100,+120,+8.7%▲
UFC on ESPN 10: Eye vs. Calvillo Jun 13th 2020,Kevin Aguilar,Charles Rosa,-140,-175,-155,-6.2%▼
UFC on ESPN+ 12: Moicano vs. The Korean Zombie Jun 22nd 2019,Kevin Aguilar,Dan Ige,-175,-145,-140,+7.5%▲
UFC on ESPN 2: Barboza vs. Gaethje Mar 30th 2019,Kevin Aguilar,Enrique Barzola,-165,+105,+113,+23.2%▲
UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman Nov 30th 2018,Kevin Aguilar,Rick Glenn,-165,+100,+113,+22%▲
UFC on ESPN+ 26: Felder vs. Hooker Feb 22nd 2020,Kevin Aguilar,Zubaira Tukhugov,+120,-125,-120,-21.3%▼
UFC on ESPN 2: Barboza vs. Gaethje Mar 30th 2019,Jessica Aguilar,Marina Rodriguez,+245,+275,+295,+10.9%▲
UFC Fight Night 141: Blaydes vs. Ngannou 2 Nov 24th 2018,Jessica Aguilar,Weili Zhang,+135,+400,+525,+57.3%▲
UFC Fight Night 133: Dos Santos vs. Ivanov Jul 14th 2018,Jessica Aguilar,Jodie Esquibel,-155,+147,+150,+33.9%▲
UFC 211: Miocic vs. Dos Santos 2 May 13th 2017,Jessica Aguilar,Cortney Casey,-120,+140,+140,+23.6%▲
UFC 190: Rousey vs. Correia Aug 1st 2015,Jessica Aguilar,Claudia Gadelha,+185,+340,+360,+36.7%▲
UFC Fight Night 218 Jan 14th 2023,Jesus Aguilar,Tatsuro Taira,,,,
UFC Fight Night: Lewis vs. Spivak Feb 4th 2023,Jesus Santos Aguilar,Tatsuro Taira,+500,+700,+980,+35%▲
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Kevin Lee,Daniel Rodriguez,-130,-162,-135,-5.9%▼
UFC 244: Masvidal vs. Diaz Nov 2nd 2019,Kevin Lee,Gregor Gillespie,-110,+137,+150,+21.8%▲
UFC on ESPN+ 10: Dos Anjos vs. Lee May 18th 2019,Kevin Lee,Rafael Dos Anjos,-135,-155,-143,-4.2%▼
UFC on FOX 31: Lee vs. Iaquinta 2 Dec 15th 2018,Kevin Lee,Al Iaquinta,-275,-400,-335,-7%▼
UFC Fight Night 128: Barboza vs. Lee Apr 21st 2018,Kevin Lee,Edson Barboza,-105,-165,-161,-21%▼
UFC 216: Ferguson vs. Lee Oct 7th 2017,Kevin Lee,Tony Ferguson,+145,+235,+245,+27.9%▲
UFC Fight Night 112: Chiesa vs. Lee Jun 25th 2017,Kevin Lee,Michael Chiesa,-120,-155,-145,-10%▼
UFC Fight Night 106: Belfort vs. Gastelum Mar 11th 2017,Kevin Lee,Francisco Trinaldo,-110,-170,-170,-20.2%▼
UFC Fight Night 99: Mousasi vs. Hall 2 Nov 19th 2016,Kevin Lee,Magomed Mustafaev,-150,-145,-144,+1.4%▲
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia Jul 8th 2016,Kevin Lee,Jake Matthews,+145,+140,+140,-2.1%▼
UFC 197: Jones vs. Saint Preux Apr 23rd 2016,Kevin Lee,Efrain Escudero,-400,-380,-360,+1.6%▲
UFC 194: Aldo vs. McGregor Dec 12th 2015,Kevin Lee,Leonardo Santos,-405,-650,-510,-6.4%▼
UFC Fight Night 71: Mir vs. Duffee Jul 15th 2015,Kevin Lee,James Moontasri,-175,-315,-275,-17.4%▼
UFC Fight Night 60: Henderson vs. Thatch Feb 14th 2015,Kevin Lee,Michel Prazeres,-230,-160,-155,+12.1%▲
UFC 178: Johnson vs. Cariaso Sep 27th 2014,Kevin Lee,Jon Tuck,-190,-250,-240,-8.4%▼
UFC: The Ultimate Fighter 19 Finale Jul 6th 2014,Kevin Lee,Jesse Ronson,-215,-220,-215,-0.4%▼
UFC 169: Barao vs. Faber Feb 1st 2014,Kevin Lee,Al Iaquinta,+160,+135,+140,-9.2%▼
UFC on ESPN+ 28: Lee vs. Oliveira Mar 14th 2020,Kevin Lee,Charles Oliveira,+100,-152,-130,-16.7%▼
UFC 107: Penn vs Sanchez Dec 12th 2009,Kevin Burns,T.J. Grant,+110,-115,-115,-12.3%▼
UFC: The Ultimate Fighter 9 Finale Jun 20th 2009,Kevin Burns,Chris Lytle,+200,+235,+235,+10.4%▲
UFC: The Ultimate Fighter 8 Finale Dec 13th 2008,Kevin Burns,Anthony Johnson,+190,+265,+265,+20.5%▲
UFC Fight Night 14: Silva vs Irvin Jul 19th 2008,Kevin Burns,Anthony Johnson,+270,+220,+220,-15.6%▼
UFC 85: Bedlam Jun 7th 2008,Kevin Burns,Roan Carneiro,+315,+350,+350,+7.8%▲
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Kevin Casey,Sam Alvey,+150,+230,+245,+26%▲
UFC 199: Rockhold vs. Bisping II Jun 4th 2016,Kevin Casey,Elvis Mutapcic,-120,+120,+125,+17.8%▲
UFC on FOX 18: Johnson vs. Bader Jan 30th 2016,Kevin Casey,Rafael Natal,+130,+155,+155,+9.8%▲
UFC Fight Night 80: VanZant vs. Namajunas Dec 10th 2015,Kevin Casey,Antonio Carlos Junior,+240,+255,+260,+5%▲
UFC Fight Night 71: Mir vs. Duffee Jul 15th 2015,Kevin Casey,Ildemar Alcantara,-125,+120,+120,+18.2%▲
UFC 175: Weidman vs. Machida Jul 5th 2014,Kevin Casey,William Bush,+100,+168,+170,+25.7%▲
UFC: The Ultimate Fighter 17 Finale Apr 13th 2013,Kevin Casey,Josh Samman,+220,+400,+405,+36.4%▲
UFC Fight Night: UFC Fight Night 206 Apr 16th 2022,Kevin Croom,Heili Alateng,+120,+140,+155,+11.6%▲
UFC Fight Night 201 Jan 15th 2022,Kevin Croom,Brian Kelleher,+275,+255,+385,+3.4%▲
UFC Fight Night 186: Rozenstruik vs. Gane Feb 27th 2021,Kevin Croom,Alex Caceres,+250,+127,+150,-45.8%▼
UFC on ESPN+ 35: Waterson vs. Hill Sep 12th 2020,Kevin Croom,Roosevelt Roberts,+285,+400,+450,+26.7%▲
UFC on ESPN+ 6: Thompson vs. Pettis Mar 23rd 2019,Jesus Pinedo,John Makdessi,+165,+250,+260,+25.4%▲
